auth.password,Password,,,,,,كلمة المرور,,,,,,,,,,,,Šifra,,,,,,,,密码,,,,Heslo,,Wachtwoord,,,,,,,Mot de passe,,,,,,Passwort,,,,,,,,,,,,,,,,,,,,Password,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passord,,,,,Hasło,Palavra-passe,Senha,,,,,Пароль,,,,,,,,,,,,,,Geslo,,Contraseña,,,,,,,,,,,,,,Şifre,,,,Пароль,,,,,,,,,,,,
auth.password-confirmation,Confirm password,,,,,,تأكيد كلمة المرور,,,,,,,,,,,,Potvrdite šifru,,,,,,,,确认密码,,,,Potvrzení hesla,,Wachtwoord bevestigen,,,,,,,Confirmer le mot de passe,,,,,,Passwort bestätigen,,,,,,,,,,,,,,,,,,,,Conferma password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potwierdź hasło,Confirme a palavra-passe,Confirme a senha,,,,,Повторите пароль,,,,,,,,,,,,,,Potrdi geslo,,,,,,,,,,,,,,,,Şifre Tekrar,,,,Повторіть пароль,,,,,,,,,,,,
auth.reset-password,Reset password,,,,,,اعادة تعيين كلمة المرور,,,,,,,,,,,,Resetujte šifru,,,,,,,,重置密码,,,,Obnovení hesla,,Wachtwoord opnieuw instellen,,,,,,,Réinitialisation du mot de passe,,,,,,Passwort zurücksetzen,,,,,,,,,,,,,,,,,,,,Reimposta password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zresetuj hasło,Redefinir palavra-passe,Redefinir senha,,,,,,,,,,,,,,,,,,,Ponastavi geslo,,,,,,,,,,,,,,,,Şifre Sıfırla,,,,Скинути пароль,,,,,,,,,,,,
auth.reset-send,Send password reset link,,,,,,ارسل رابط عادة تعيين كلمة المرور,,,,,,,,,,,,Pošaljite zahtjev za reset šifre,,,,,,,,发送重置邮件,,,,Odeslat odkaz pro obnovení hesla,,Link sturen om wachtwoord opnieuw in te stellen,,,,,,,Envoyer un lien de réinitialisation de mot de passe,,,,,,Link zum Zurücksetzen des Passworts senden,,,,,,,,,,,,,,,,,,,,Invia link di reimpostazione password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wyślij link resetujący hasło,Enviar link de redefinição de palavra-passe,Enviar link de redefinição de senha,,,,,Отправить ссылку на восстановление пароля,,,,,,,,,,,,,,Pošlji povezavo za ponastavitev gesla,,,,,,,,,,,,,,,,Şifre Sıfırlama Bağlantısı Gönder,,,,Надіслати посилання на відновлення пароля,,,,,,,,,,,,
auth.verify-login,Verify login,,,,,,تحقق من تسجيل الدخول,,,,,,,,,,,,Potvrdite prijavu,,,,,,,,登陆验证,,,,Ověřit přihlášení,,Login verifiëren,,,,,,,Vérifier la connexion,,,,,,Anmeldung bestätigen,,,,,,,,,,,,,,,,,,,,Verifica login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zweryfikuj tożsamość,Verificar login,Verificar login,,,,,,,,,,,,,,,,,,,Potrdi prijavo,,,,,,,,,,,,,,,,Girişi Doğrula,,,,Перевірте логін,,,,,,,,,,,,
buckets.intro,What would you like to feature today?,,,,,,ما الذي تود تميزه اليوم؟,,,,,,,,,,,,Šta želite objaviti danas?,,,,,,,,今天想要展示什么？,,,,Co byste rádi nabízeli jako doporučené?,,Wat wil je vandaag uitlichten?,,,,,,,Que souhaitez-vous mettre en avant aujourd’hui ?,,,,,,Was würden Sie heute gerne vorstellen?,,,,,,,,,,,,,,,,,,,,Cosa vorresti promuovere oggi?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Co chciałbyś dzisiaj wyróżnić?,O que você gostaria de destacar hoje?,O que você gostaria de destacar hoje?,,,,,Что вы хотите показать сегодня?,,,,,,,,,,,,,,Kaj bi radi izpostavili danes?,,,,,,,,,,,,,,,,Bugün Neyi Öne Çıkarmak Çıkartmak İstersin?,,,,Що ви хочете показати сьогодні?,,,,,,,,,,,,
buckets.none-available,No items available.,,,,,,لا توجد عناصر متاحة.,,,,,,,,,,,,Nema dostupnih podataka.,,,,,,,,无可用内容,,,,Žádné položky k dispozici.,,Geen items beschikbaar,,,,,,,Aucun contenu disponible,,,,,,Keine Einträge vorhanden.,,,,,,,,,,,,,,,,,,,,Nessun elemento disponibile.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nie ma żadnych elementów które mógłbyś wyróżnić.,Nenhum item disponível,Nenhum item disponível,,,,,Нет доступных вариантов.,,,,,,,,,,,,,,Ni razpoložljivih predmetov.,,,,,,,,,,,,,,,,Mevcut Öğe Yok.,,,,Немає доступних варіантів.,,,,,,,,,,,,
buckets.none-featured,No items featured.,,,,,,لا توجد عناصر مميزة.,,,,,,,,,,,,Nema objavljenih podataka.,,,,,,,,无展示内容,,,,Žádné doporučené položky.,,Geen items uitgelicht.,,,,,,,Aucun contenu mis en avant,,,,,,Keine hervorgehobenen Einträge.,,,,,,,,,,,,,,,,,,,,Nessun elemento promosso.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nie wyróżniono żadnych elementów.,Nenhum item destacado,Nenhum item destacado,,,,,,,,,,,,,,,,,,,Ni izpostavljenih predmetov.,,,,,,,,,,,,,,,,Öne Çıkarılmış Öğe Yok,,,,Немає виділених елементів,,,,,,,,,,,,
buckets.publish,Publish,,,,,,نشر,,,,,,,,,,,,Objavi,,,,,,,,发布,,,,Publikovat,,Publiceren,,,,,,,Publier,,,,,,Veröffentlichen,,,,,,,,,,,,,,,,,,,,Pubblica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opublikuj,Publicar,Publicar,,,,,Публикация,,,,,,,,,,,,,,Objavi,,,,,,,,,,,,,,,,Yayınla,,,,Публікація,,,,,,,,,,,,
buckets.source-title,Available items,,,,,,العناصر المتاحة,,,,,,,,,,,,Dostupni podaci,,,,,,,,可用内容,,,,Dostupné položky,,Beschikbare items,,,,,,,Contenu disponible,,,,,,Verfügbare Einträge,,,,,,,,,,,,,,,,,,,,Elementi disponibili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dostępne elementy,Itens disponíveis,Itens disponíveis,,,,,Доступные варианты,,,,,,,,,,,,,,Razpoložljivi predmeti,,,,,,,,,,,,,,,,Kullanılabilir Öğeler,,,,Доступні варіанти,,,,,,,,,,,,
dashboard.all-activity,All activity,,,,,,جميع النشاطات,,,,,,,,,,,,Sva aktivnost,,,,,,,,全部动态,,,,Veškerá aktivita,,Alle activiteit,,,,,,,Toute l’activité,,,,,,Alle Aktivitäten,,,,,,,,,,,,,,,,,,,,Tutte le attività,,,,,,,,,,,,,,,,,,,,,,,,,,,,All aktivitet,,,,,Cała aktywność,Todas as atividades,Todas as atividades,,,,,Вся активность,,,,,,,,,,,,,,Vsa dejavnost,,Todas las actividades,,,,,,,,,,,,,,Tüm Aktiviteler,,,,Вся активність,,,,,,,,,,,,
dashboard.create-new,Create new,,,,,,انشاء جديد,,,,,,,,,,,,Kreiraj novu,,,,,,,,创建新的,,,,Vytvořit nový,,Nieuw maken,,,,,,,Créer,,,,,,Neu erstellen,,,,,,,,,,,,,,,,,,,,Crea nuova,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opprett ny,,,,,Utwórz nowy,Criar nova,Criar nova,,,,,Создать,,,,,,,,,,,,,,Ustvari novo,,Crear nuevo,,,,,,,,,,,,,,Yeni Ekle,,,,Створити,,,,,,,,,,,,
dashboard.empty-message,You don't have any activity yet.,,,,,,ليس لديك أي نشاط حتى الآن.,,,,,,,,,,,,Nemate nikakve aktivnosti još.,,,,,,,,没有新动态,,,,Nemáte zatím žádnou zaznamenanou aktivitu.,,U heeft nog geen activiteiten.,,,,,,,Vous n’avez aucune activité pour le moment.,,,,,,Sie haben noch keine Aktivitäten.,,,,,,,,,,,,,,,,,,,,Non hai ancora alcuna attività,,,,,,,,,,,,,,,,,,,,,,,,,,,,Du har ikke hatt noe aktivitet ennå.,,,,,Nie masz jeszcze żadnej aktywności.,Você ainda não tem atividades.,Você ainda não tem atividades.,,,,,У вас еще нет активности.,,,,,,,,,,,,,,Brez dejavnosti,,Todavía no hay registro de actividades.,,,,,,,,,,,,,,Henüz Herhangi Bir Aktivite Yok.,,,,У вас ще немає активності.,,,,,,,,,,,,
dashboard.my-activity,My activity,,,,,,نشاطاتي,,,,,,,,,,,,Moja aktivnost,,,,,,,,我的动态,,,,Moje aktivita,,Mijn activiteit,,,,,,,Mon activité,,,,,,Meine Aktivitäten,,,,,,,,,,,,,,,,,,,,Le mie attività,,,,,,,,,,,,,,,,,,,,,,,,,,,,Min aktivitet,,,,,Moja aktywność,Suas atividades,Suas atividades,,,,,Моя активность,,,,,,,,,,,,,,Moja dejavnost,,Mi actividad,,,,,,,,,,,,,,Aktivitelerim,,,,Моя активність,,,,,,,,,,,,
dashboard.my-drafts,My drafts,,,,,,مسوداتي,,,,,,,,,,,,Moji primjeri,,,,,,,,我的草稿,,,,Moje koncepty,,Mijn concepten,,,,,,,Mes brouillons,,,,,,Meine Entwürfe,,,,,,,,,,,,,,,,,,,,Le mie bozze,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mine kladder,,,,,Moje wersje robocze,Meus rascunhos,Meus rascunhos,,,,,Мои черновики,,,,,,,,,,,,,,Moji osnutki,,Mis borradores,,,,,,,,,,,,,,Taslaklarım,,,,Мої чернетки,,,,,,,,,,,,
dashboard.search-placeholder,Search everything...,,,,,,البحث في كل شيء ...,,,,,,,,,,,,Pretraži sve...,,,,,,,,搜索,,,,Hledat všude...,,Zoek in alles...,,,,,,,Rechercher...,,,,,,Alle Inhalte durchsuchen...,,,,,,,,,,,,,,,,,,,,Cerca ovunque...,,,,,,,,,,,,,,,,,,,,,,,,,,,,Søk alt...,,,,,Szukaj na całej stronie...,Procurar em tudo...,Procurar em tudo...,,,,,Поиск всего...,,,,,,,,,,,,,,Išči vse ...,,Buscar...,,,,,,,,,,,,,,Heryerde Ara...,,,,Пошук ...,,,,,,,,,,,,
dashboard.statitics,Statistics,,,,,,الاحصائيات,,,,,,,,,,,,Statistika,,,,,,,,统计,,,,Statistiky,,Statistieken,,,,,,,Statistiques,,,,,,Statistiken,,,,,,,,,,,,,,,,,,,,Statistiche,,,,,,,,,,,,,,,,,,,,,,,,,,,,Statistikk,,,,,Statystyki,Estatísticas,Estatísticas,,,,,Статистика,,,,,,,,,,,,,,Statistika,,Estadísticas,,,,,,,,,,,,,,İstatistikler,,,,Статистика,,,,,,,,,,,,
dialog.cancel,Cancel,,,,,,الغاء,,,,,,,,,,,,Prekini,,,,,,,,取消,,,,Zrušit,,Annuleren,,,,,,,Annuler,,,,,,Abbrechen,,,,,,,,,,,,,,,,,,,,Annulla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anuluj,Cancelar,Cancelar,,,,,Отмена,,,,,,,,,,,,,,Prekliči,,,,,,,,,,,,,,,,İptal,,,,Скасувати,,,,,,,,,,,,
dialog.ok,OK,,,,,,موافق,,,,,,,,,,,,OK,,,,,,,,好的,,,,OK,,OK,,,,,,,OK,,,,,,OK,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,OK,OK,,,,,ОК,,,,,,,,,,,,,,V redu,,,,,,,,,,,,,,,,Tamam,,,,ОК,,,,,,,,,,,,
dialog.title,Move to Trash,,,,,,نقل الى المهملات,,,,,,,,,,,,Premjesti u Otpad,,,,,,,,移至回收站,,,,Přesunout do koše,,Naar prullenbak verplaatsen,,,,,,,Mettre à la corbeille,,,,,,In den Papierkorb verschieben,,,,,,,,,,,,,,,,,,,,Sposta nel cestino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Przenieś do kosza,Mover para a lixeira,Mover para a lixeira,,,,,Отправить в корзину,,,,,,,,,,,,,,Premakni v smeti,,,,,,,,,,,,,,,,Çöp Kutusuna Taşı,,,,Надіслати в кошик,,,,,,,,,,,,
editor.cancel,Cancel,,,,,,الغاء,,,,,,,,,,,,Prekini,,,,,,,,取消,,,,Zrušit,,Annuleren,,,,,,,Annuler,,,,,,Abbrechen,,,,,,,,,,,,,,,,,,,,Annulla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anuluj,Cancelar,Cancelar,,,,,Отмена,,,,,,,,,,,,,,Prekliči,,,,,,,,,,,,,,,,İptal,,,,Скасувати,,,,,,,,,,,,
editor.delete,Delete,,,,,,حذف,,,,,,,,,,,,Obriši,,,,,,,,删除,,,,Smazat,,Verwijderen,,,,,,,Supprimer,,,,,,Löschen,,,,,,,,,,,,,,,,,,,,Elimina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Usuń,Apagar,Deletar,,,,,Удалить,,,,,,,,,,,,,,Izbriši,,,,,,,,,,,,,,,,Sil,,,,Видалити,,,,,,,,,,,,
editor.done,Done,,,,,,تم,,,,,,,,,,,,Gotovo,,,,,,,,完成,,,,Hotovo,,Klaar,,,,,,,Fermer,,,,,,Fertig,,,,,,,,,,,,,,,,,,,,Fatto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zatwierdź,Concluído,Concluído,,,,,,,,,,,,,,,,,,,Končano,,,,,,,,,,,,,,,,Tamamlandı,,,,Готово,,,,,,,,,,,,
editor.title,Content editor,,,,,,محرر المحتوى,,,,,,,,,,,,Uređivanje materijala,,,,,,,,内容编辑器,,,,Editor obsahu,,Inhoud editor,,,,,,,Éditeur de contenu,,,,,,Editor,,,,,,,,,,,,,,,,,,,,Editor contenuto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edytor treści,Editor de conteúdo,Editor de conteúdo,,,,,,,,,,,,,,,,,,,Urejevalnik vsebine,,,,,,,,,,,,,,,,İçerik Editörü,,,,Редактор вмісту,,,,,,,,,,,,
emails.all-rights-reserved,All rights reserved.,,,,,,كل الحقوق محفوظة.,,,,,,,,,,,,Sva prava pridržana.,,,,,,,,保留一切权利,,,,Všechna práva vyhrazena.,,Alle rechten voorbehouden.,,,,,,,Tous droits réservés,,,,,,Alle Rechte vorbehalten.,,,,,,,,,,,,,,,,,,,,Tutti i diritti riservati.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wszelkie prawa zastrzeżone.,Todos os direitos reservados.,Todos os direitos reservados.,,,,,Все права защищены.,,,,,,,,,,,,,,Vse pravice pridržane.,,,,,,,,,,,,,,,,Her Hakkı Saklıdır.,,,,Всі права захищені.,,,,,,,,,,,,
emails.hello,Hello!,,,,,,مرحبا!,,,,,,,,,,,,Zdravo!,,,,,,,,你好！,,,,Dobrý den!,,Hallo!,,,,,,,Bonjour !,,,,,,Hallo.,,,,,,,,,,,,,,,,,,,,Ciao!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Witaj!,Olá!,Olá!,,,,,Привет!,,,,,,,,,,,,,,Pozdravljeni!,,,,,,,,,,,,,,,,Merhaba!,,,,Привіт!,,,,,,,,,,,,
emails.problems,"If you are having trouble clicking the "":actionText"" button, copy and paste the URL below into your web browser: [:url](:url)",,,,,,"اذا كنت تواجه مشكلة في النقر فوق الزر "" actionText:"" ، فانسخ عنوان URL أدناه والصقه في متصفح الويب لديك: [:url](:url)",,,,,,,,,,,,"Ako imate problem sa klikanjem na "":actionText"" dugme, kopirajte i zalijepite URL ispod u vaš pretraživač: [:url](:url)",,,,,,,,"如果无法点击 "":actionText"" 按钮, 复制以下链接到你的浏览器并打开: [:url](:url)",,,,"Pokud máte problém s kliknutím na tlačítko "":actionText"", zkopírujte URL níže a vložte ji do adresní řádky svého prohlížeče: [:url](:url)",,"Als je problemen hebt met op de "":actionText"" knop te drukken, kopieer en plak deze URL in je browser: [:url](:url)",,,,,,,"Si vous ne parvenez pas à cliquer sur le bouton "":actionText"", copiez et collez l’URL ci-dessous dans votre navigateur Web : [:url] (:url)",,,,,,"Wenn Sie Probleme damit haben, die Schaltfläche "":actionText"" zu klicken, kopieren Sie die folgende URL und fügen Sie sie in die Adresszeile Ihres Browsers ein: [:url](:url)",,,,,,,,,,,,,,,,,,,,"Se hai problemi a premere pulsante "":actionText"", copia e incolla l'URL seguente nel tuo web browser: [:url](:url)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jeżeli nie możesz kliknąć przycisku "":actionText"", wklej ten link do swojej przeglądarki: [:url](:url)","Se estiver a ter problemas em clicar no botão "":actionText"", copie e cole o URL abaixo no seu navegador web: [:url](:url)","Se você estiver tendo problemas em clicar no botão "":actionText"", copie e cole a URL abaixo no seu navegador web: [:url](:url)",,,,,"Если у вас не нажимается кнопка "":actionText"", скопируйте ссылку, и вставьте в браузер: [:url](:url)",,,,,,,,,,,,,,"Če imate težave s klikom na gumb "":actionText"", kopirajte in prilepite spodnji URL v vaš spletni brskalnik: [:url](:url)",,,,,,,,,,,,,,,,""":actiontext"" Tıklamakta Sorun Yaşıyorsanız, Lütfen [:url](:url) Linki Tarayıcınıza Kopyalayın.",,,,"Якщо у вас не натискається кнопка "":actionText"", скопіюйте посилання, і вставте в браузер: [:url](:url)",,,,,,,,,,,,
emails.regards,"Regards,",,,,,,خالص تحياتي،,,,,,,,,,,,,Poštovanje.,,,,,,,,此致，,,,,S pozdravem,,"Met vriendelijke groeten,",,,,,,,"Cordialement,",,,,,,"Mit freundlichen Grüßen,",,,,,,,,,,,,,,,,,,,,"Saluti,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pozdrawiamy,",Com os melhores cumprimentos,Atenciosamente,,,,,"С уважением,",,,,,,,,,,,,,,"Lep pozdrav,",,,,,,,,,,,,,,,,"Saygılarımızla,",,,,"З повагою,",,,,,,,,,,,,
fields.block-editor.add-content,Add content,,,,,,اضافة محتوى,,,,,,,,,,,,Dodaj materijal,,,,,,,,添加模块,,,,Přidat obsah,,Inhoud toevoegen,,,,,,,Ajouter du contenu,,,,,,Inhalt hinzufügen,,,,,,,,,,,,,,,,,,,,Aggiungi contenuto,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legg til innhold,,,,,Dodaj treść,Adicionar conteúdo,Adicionar conteúdo,,,,,Добавить содержимое,,,,,,,,,,,,,,Dodaj vsebino,,Agregar contenido,,,,,,,,,,,,,,İçerik Ekle,,,,Додати вміст,,,,,,,,,,,,
fields.block-editor.collapse-all,Collapse all,,,,,,اغلاق الجميع,,,,,,,,,,,,Sakrij sve,,,,,,,,全部折叠,,,,Sbalit vše,,Alles inklappen,,,,,,,Tout masquer,,,,,,Alle einklappen,,,,,,,,,,,,,,,,,,,,Chiudi tutto,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skjul alle,,,,,Zwiń wszystke,Recolher tudo,Recolher tudo,,,,,Раскрыть все,,,,,,,,,,,,,,Zmanjšaj vse,,Colapsar todo,,,,,,,,,,,,,,Hepsini Daralt,,,,Розкрити всі,,,,,,,,,,,,
fields.block-editor.create-another,Create another,,,,,,إنشاء آخر,,,,,,,,,,,,Kreiraj drugi,,,,,,,,继续创建,,,,Vytvořit další,,Nieuw maken,,,,,,,Créer un nouveau,,,,,,Weiteren erstellen,,,,,,,,,,,,,,,,,,,,Crea un altro,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opprett ny,,,,,Dodaj kolejny,Criar outro,Criar outro,,,,,Создать другой,,,,,,,,,,,,,,Ustvari še eno,,Crear otro,,,,,,,,,,,,,,Başka Bir Tane Oluştur,,,,Створити інший,,,,,,,,,,,,
fields.block-editor.delete,Delete,,,,,,حذف,,,,,,,,,,,,Obriši,,,,,,,,删除,,,,Smazat,,Verwijderen,,,,,,,Supprimer,,,,,,Löschen,,,,,,,,,,,,,,,,,,,,Elimina,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slett,,,,,Usuń,Deletar,Deletar,,,,,Удалить,,,,,,,,,,,,,,Izbriši,,Borrar,,,,,,,,,,,,,,Sil,,,,Видалити,,,,,,,,,,,,
